Any,Ambit,Titularitat,Tipus,Edicio,Festa,DataInici,DataFi,Assistents,Espai,Organitzador,Nota
2019,"Festes i tradicions",Municipal,Festes,,"Cap d'Any",31/12/2019,31/12/2019,94000,,"Institut de Cultura. Ajuntament de Barcelona",
2019,"Festes i tradicions",Mixta,Festes,,Carnaval,28/2/2019,6/3/2019,,"Diferents espais de la ciutat","Diverses entitats",
2019,"Festes i tradicions",Municipal,Festes,,"Cavalcada de Reis",5/1/2019,5/1/2019,750000,"Diversos espais","Institut de Cultura. Ajuntament de Barcelona",
2019,"Festes i tradicions",Mixta,Festes,,"Cavalcada dels Tres Tombs ",17/1/2019,17/1/2019,,"Barri de Sant Antoni","Diverses entitats",
2019,"Festes i tradicions",Mixta,Festes,,"Diada de l'Onze de Setembre",11/9/2019,11/9/2019,,,"Diverses entitats",
2019,"Festes i tradicions",Mixta,Festes,,"Diada de Sant Jordi",23/4/2019,23/4/2019,,"Diferents espais de la ciutat","Diverses entitats",
2019,Ciència,Municipal,Festes,13,"Festa de la Ciència",26/10/2019,27/10/2019,15000,,"Institut de Cultura. Ajuntament de Barcelona",
2019,"Festes i tradicions",Mixta,Festes,,"Festa Major de Gràcia",15/8/2019,21/8/2019,,"Districte de Gràcia","Diverses entitats",
2019,"Festes i tradicions",Mixta,Festes,,"Festa Major de Sants",24/8/2019,1/9/2019,,"Districte de Sants","Diverses entitats",
2019,"Festes i tradicions",Municipal,Festes,,"Festes de Santa Eulàlia",8/2/2019,12/2/2019,,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",
2019,"Festes i tradicions",Municipal,Festes,3,"In Museu",2/2/2019,2/2/2019,2536,"Museus de l'Institut de Cultura","Institut de Cultura. Ajuntament de Barcelona",
2019,"Festes i tradicions",Mixta,Festes,,"L'ou com balla",20/6/2019,23/6/2019,,"Diversos espais de la ciutat","Diverses entitats",
2019,"Festes i tradicions",Municipal,Festes,,"La Mercè",20/9/2019,24/9/2019,1371757,"Diferents espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",
2019,"Festes i tradicions",Municipal,Festes,12,"Nit dels Museus",18/5/2019,18/5/2019,151797,"Diferents espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",
2019,"Festes i tradicions",Mixta,Festes,,"Revetlla de Sant Joan",23/6/2019,23/6/2019,,"Diferents espais de la ciutat","Diverses entitats",
2019,"Festes i tradicions",Mixta,Festes,,"Sant Medir",3/3/2019,3/3/2019,,"Barri de Gràica, Sant Gervasi i la Bordeta","Diverses entitats",
