Any,Ambit,Titularitat,Tipus,Edicio,Festa,DataInici,DataFi,Assistents,Espai,Organitzador,Nota
2020,"Festes i tradicions",Municipal,Festes,,"Cap d'Any",31/12/2020,31/12/2020,,"Ciutat i districtes","Institut de Cultura. Ajuntament de Barcelona","A banda del públic presencial, van registrar-se 1.999.000 usuaris en línia "
2020,"Festes i tradicions",Mixta,Festes,,Carnaval,20/2/2020,26/2/2020,,"Ciutat i districtes","Institut de Cultura. Ajuntament de Barcelona",Presencial
2020,"Festes i tradicions",Municipal,Festes,,"Cavalcada de Reis",5/1/2020,5/1/2020,950000,"Diferents espais","Institut de Cultura. Ajuntament de Barcelona",Presencial
2020,"Festes i tradicions",Mixta,Festes,195,"Cavalcada dels Tres Tombs ",25/1/2020,25/1/2020,,,"Ajuntament de Barcelona.",Presencial
2020,"Festes i tradicions",Mixta,Festes,,"Festa Major de Gràcia",15/8/2020,21/8/2020,,Online,"Fundació Festa Major de Gràcia","En línia - Sense dades"
2020,"Festes i tradicions",Municipal,Festes,,"Festes de Santa Eulàlia",7/2/2020,12/2/2020,,"Ciutat Vella","Institut de Cultura. Ajuntament de Barcelona",Presencial
2020,"Festes i tradicions",Municipal,Festes,,"In Museu",1/2/2020,1/2/2020,2941,"Diferents museus","Institut de Cultura. Ajuntament de Barcelona",Presencial
2020,"Festes i tradicions",Mixta,Festes,,"L'ou com balla",11/6/2020,14/6/2020,,Online,-1,"En línia - Sense dades"
2020,"Festes i tradicions",Municipal,Festes,,"La Mercè",24/9/2020,27/9/2020,59000,"Ciutat i districtes","Institut de Cultura. Ajuntament de Barcelona","A banda del públic presencial, van registrar-se 570.000 usuaris en línia"
2020,"Festes i tradicions",Mixta,Festes,,"Sant Medir",3/3/2020,3/3/2020,,Gràcia,-1,Presencial
