time,temperature_2m,total_cloud_cover,total_precipitation,windspeed_10m
2019-01-01 00:00:00,281.3974304199219,0.0,0.0,2.5478270053863525
2019-01-01 01:00:00,281.3021240234375,0.0,0.0,2.4127159118652344
2019-01-01 02:00:00,281.6068725585937,0.0,0.0,2.095947742462158
2019-01-01 03:00:00,281.4374389648437,0.0,0.0,1.7775474786758425
2019-01-01 04:00:00,281.0423278808594,0.0,0.0,1.7297569513320925
2019-01-01 05:00:00,280.9996032714844,0.0,0.0,1.6806634664535522
2019-01-01 06:00:00,281.0468139648437,0.0,0.0,1.6564069986343384
2019-01-01 07:00:00,281.05535888671875,0.0014038681983947,0.0,1.7031474113464355
2019-01-01 08:00:00,281.8172607421875,0.0060580074787139,0.0,1.502385497093201
2019-01-01 09:00:00,283.7289428710937,0.0,0.0,1.3013473749160769
2019-01-01 10:00:00,285.7269592285156,0.0163581669330596,0.0,1.3750872611999512
2019-01-01 11:00:00,286.60797119140625,0.0030213892459869,0.0,1.2064021825790403
2019-01-01 12:00:00,287.0489196777344,0.0146796405315399,0.0,1.2425994873046875
2019-01-01 13:00:00,287.2278137207031,0.0393542051315307,0.0,1.833156704902649
2019-01-01 14:00:00,287.1239929199219,0.0316634476184845,0.0,2.426369428634644
2019-01-01 15:00:00,286.89385986328125,0.0664703249931335,0.0,2.4899256229400635
2019-01-01 16:00:00,285.86541748046875,0.1479712426662445,0.0,2.269897222518921
2019-01-01 17:00:00,285.0046081542969,0.2730838060379028,0.0,2.3220198154449463
2019-01-01 18:00:00,285.0095520019531,0.3603222966194153,0.0,1.8429495096206665
2019-01-01 19:00:00,284.16046142578125,0.4225352108478546,4.745088517665863e-07,1.4631152153015137
2019-01-01 20:00:00,282.599365234375,0.4924236536026001,1.582317054271698e-06,1.202766180038452
2019-01-01 21:00:00,281.4486694335937,0.5322967171669006,3.63960862159729e-06,1.3084245920181274
2019-01-01 22:00:00,281.74578857421875,0.2427326738834381,7.91158527135849e-07,2.143224239349365
2019-01-01 23:00:00,281.5228271484375,0.0819434523582458,4.745088517665863e-07,2.947246551513672
2019-01-02 00:00:00,281.16998291015625,0.0303969085216522,4.745088517665863e-07,3.2798643112182617
2019-01-02 01:00:00,280.7254333496094,0.002731442451477,4.745088517665863e-07,3.105919122695923
2019-01-02 02:00:00,280.2831115722656,0.002731442451477,0.0,2.890275001525879
2019-01-02 03:00:00,279.9374694824219,0.0,0.0,2.755176305770874
2019-01-02 04:00:00,279.4915466308594,0.0,0.0,2.715283155441284
2019-01-02 05:00:00,279.3949279785156,0.0,0.0,2.816953659057617
2019-01-02 06:00:00,279.40435791015625,0.0,0.0,2.820807695388794
2019-01-02 07:00:00,279.4942626953125,0.0,0.0,2.760948896408081
2019-01-02 08:00:00,280.0561218261719,0.0036928057670593,0.0,2.7604973316192627
2019-01-02 09:00:00,281.5147399902344,0.0274518132209777,0.0,2.711660623550415
2019-01-02 10:00:00,283.1010131835937,0.0686677098274231,0.0,3.0584371089935303
2019-01-02 11:00:00,284.2126159667969,0.0421161949634552,0.0,3.231977939605713
2019-01-02 12:00:00,285.0536193847656,0.0454275012016296,0.0,2.612342834472656
2019-01-02 13:00:00,285.7606811523437,0.0379350781440734,0.0,1.7634422779083252
2019-01-02 14:00:00,286.35894775390625,0.0104680061340332,0.0,1.4239821434020996
2019-01-02 15:00:00,286.4376220703125,0.0047609508037567,0.0,1.288048267364502
2019-01-02 16:00:00,285.4226379394531,0.0019532144069671,0.0,1.893652081489563
2019-01-02 17:00:00,284.4130859375,0.0,0.0,2.5168259143829346
2019-01-02 18:00:00,283.6862487792969,0.0012360215187072,0.0,2.495446920394897
2019-01-02 19:00:00,282.98638916015625,0.0,0.0,2.1208927631378174
2019-01-02 20:00:00,282.3521423339844,0.0,0.0,1.6628316640853882
2019-01-02 21:00:00,281.4508972167969,0.0,0.0,1.4137725830078125
2019-01-02 22:00:00,282.291015625,0.0,0.0,1.483415603637695
2019-01-02 23:00:00,281.26483154296875,0.0115209221839904,0.0,1.632874846458435
2019-01-03 00:00:00,280.7033996582031,0.002670407295227,0.0,1.582125186920166
2019-01-03 01:00:00,280.3231201171875,0.0,0.0,1.810370683670044
2019-01-03 02:00:00,279.8925170898437,0.0,0.0,1.9658715724945068
2019-01-03 03:00:00,279.5018920898437,0.0,0.0,2.1175575256347656
2019-01-03 04:00:00,279.0573425292969,0.0,0.0,2.147188663482666
2019-01-03 05:00:00,278.8721618652344,0.0,0.0,2.127809762954712
2019-01-03 06:00:00,278.7885437011719,0.0,0.0,2.461609363555908
2019-01-03 07:00:00,279.0227355957031,0.1022690832614898,0.0,2.784544944763184
2019-01-03 08:00:00,279.436279296875,0.1020249426364898,0.0,2.661861658096313
2019-01-03 09:00:00,281.2387390136719,0.124151200056076,0.0,2.5197594165802
2019-01-03 10:00:00,282.8892822265625,0.0775487124919891,0.0,1.5378293991088867
2019-01-03 11:00:00,283.9213256835937,0.0357834994792938,0.0,1.2674689292907717
2019-01-03 12:00:00,284.4975891113281,0.0280469357967376,0.0,0.0963543727993965
2019-01-03 13:00:00,284.7439270019531,0.014420211315155,0.0,1.7848631143569946
2019-01-03 14:00:00,284.93585205078125,0.0205545425415039,0.0,2.3715436458587646
2019-01-03 15:00:00,284.96685791015625,0.0167396664619445,0.0,2.5269932746887207
2019-01-03 16:00:00,284.30340576171875,0.0287946462631225,0.0,2.3953094482421875
2019-01-03 17:00:00,282.4496765136719,0.0036165118217468,0.0,2.590258836746216
2019-01-03 18:00:00,281.5030517578125,0.0,0.0,2.0031626224517822
