,station_id,name,physical_configuration,lat,lon,altitude,address,post_code,capacity,is_charging_station,nearby_distance,x_ride_code_support,cross_street,last_updated,ttl
135,141,"C/ BILBAO, 174",ELECTRICBIKESTATION,41.4090202,2.1954152,7,"C/ BILBAO, 174",8018,32,True,1000,True,,1661983179,2
136,142,"C/ SANCHO DE ÁVILA,  104 - C/ BADAJOZ",ELECTRICBIKESTATION,41.4003793,2.1924144,4,"C/ SANCHO DE ÁVILA,  104 - C/ BADAJOZ",8018,32,True,1000,True,,1661983179,2
137,143,"C/ SANCHO DE ÁVILA, 170 / LLACUNA",ELECTRICBIKESTATION,41.4027907,2.1956161,4,"C/ SANCHO DE ÁVILA, 170 / LLACUNA",8018,26,True,1000,True,,1661983179,2
138,144,"C/ CASTELLA,  28 / DIAGONAL",ELECTRICBIKESTATION,41.4056269,2.1977119,4,"C/ CASTELLA,  28 / DIAGONAL",8018,27,True,1000,True,,1661983179,2
139,145,"C/ PERE IV,  301 / FLUVIÀ",ELECTRICBIKESTATION,41.4093405,2.2024461,4,"C/ PERE IV,  301 / FLUVIÀ",8020,27,True,1000,True,,1661983179,2
140,146,"C/ PERE IV, 488",ELECTRICBIKESTATION,41.4148983,2.207186,4,"C/ PERE IV, 488",8019,24,True,1000,True,,1661983179,2
141,147,"RAMBLA PRIM, 79",ELECTRICBIKESTATION,41.416043,2.2124993,5,"RAMBLA PRIM, 79",8019,33,True,1000,True,,1661983179,2
142,148,"RONDA SANT PAU, 79",ELECTRICBIKESTATION,41.3783467,2.1633139,12,"RONDA SANT PAU, 79",8015,27,True,1000,True,,1661983179,2
143,149,"C/ PUJADES, 57B",ELECTRICBIKESTATION,41.3958685,2.192952,4,"C/ PUJADES, 57B",8019,27,True,1000,True,,1661983179,2
144,150,"C/ ESPRONCEDA, 124",ELECTRICBIKESTATION,41.4065912,2.203028,4,"C/ ESPRONCEDA, 124",8005,27,True,1000,True,,1661983179,2
145,151,"C/ PALLARS, 182",ELECTRICBIKESTATION,41.4003471,2.1969105,3,"C/ PALLARS, 182",8005,27,True,1000,True,,1661983179,2
146,152,"C/ PUJADES, 121",ELECTRICBIKESTATION,41.3993329,2.1974184,3,"C/ PUJADES, 121",8005,27,True,1000,True,,1661983179,2
147,153,"C/ PUJADES, 173/RBLA POBLE NOU",ELECTRICBIKESTATION,41.4018686,2.20077,3,"C/ PUJADES, 173/RBLA POBLE NOU",8005,22,True,1000,True,,1661983179,2
148,154,"C/ PUJADES, 191",ELECTRICBIKESTATION,41.4026275,2.2017694,2,"C/ PUJADES, 191",8005,32,True,1000,True,,1661983179,2
149,155,"C/ PUJADES, 311/ FLUVIÀ",ELECTRICBIKESTATION,41.4070139,2.2074469,4,"C/ PUJADES, 311/ FLUVIÀ",8019,31,True,1000,True,,1661983179,2
150,156,"C/ SELVA DE MAR, 46",ELECTRICBIKESTATION,41.4091355,2.2088179,4,"C/ SELVA DE MAR, 46",8019,27,True,1000,True,,1661983179,2
151,157,"C/ LLULL, 465",ELECTRICBIKESTATION,41.4132316,2.2177652,4,"C/ LLULL, 465",8019,33,True,1000,True,,1661983179,2
